pokedex_number,name,type1,type2,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fighting,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,percentage_male,classfication,height_m,weight_kg,capture_rate,base_egg_steps,abilities,experience_growth,base_happiness,hp,attack,defense,sp_attack,sp_defense,speed,base_total,generation,is_legendary
1,Bulbasaur,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,88.1,Seed PokÃ©mon,0.7,6.9,45,5120,"['Overgrow', 'Chlorophyll']",1059860,70,45,49,49,65,65,45,318,1,0
2,Ivysaur,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,88.1,Seed PokÃ©mon,1,13,45,5120,"['Overgrow', 'Chlorophyll']",1059860,70,60,62,63,80,80,60,405,1,0
3,Venusaur,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,88.1,Seed PokÃ©mon,2,100,45,5120,"['Overgrow', 'Chlorophyll']",1059860,70,80,100,123,122,120,80,625,1,0
4,Charmander,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,88.1,Lizard PokÃ©mon,0.6,8.5,45,5120,"['Blaze', 'Solar Power']",1059860,70,39,52,43,60,50,65,309,1,0
5,Charmeleon,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,88.1,Flame PokÃ©mon,1.1,19,45,5120,"['Blaze', 'Solar Power']",1059860,70,58,64,58,80,65,80,405,1,0
6,Charizard,fire,flying,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,88.1,Flame PokÃ©mon,1.7,90.5,45,5120,"['Blaze', 'Solar Power']",1059860,70,78,104,78,159,115,100,634,1,0
7,Squirtle,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,88.1,Tiny Turtle PokÃ©mon,0.5,9,45,5120,"['Torrent', 'Rain Dish']",1059860,70,44,48,65,50,64,43,314,1,0
8,Wartortle,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,88.1,Turtle PokÃ©mon,1,22.5,45,5120,"['Torrent', 'Rain Dish']",1059860,70,59,63,80,65,80,58,405,1,0
9,Blastoise,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,88.1,Shellfish PokÃ©mon,1.6,85.5,45,5120,"['Torrent', 'Rain Dish']",1059860,70,79,103,120,135,115,78,630,1,0
10,Caterpie,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,Worm PokÃ©mon,0.3,2.9,255,3840,"['Shield Dust', 'Run Away']",1000000,70,45,30,35,20,20,45,195,1,0
11,Metapod,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,Cocoon PokÃ©mon,0.7,9.9,120,3840,['Shed Skin'],1000000,70,50,20,55,25,25,30,205,1,0
12,Butterfree,bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,50,Butterfly PokÃ©mon,1.1,32,45,3840,"['Compoundeyes', 'Tinted Lens']",1000000,70,60,45,50,90,80,70,395,1,0
13,Weedle,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,Hairy PokÃ©mon,0.3,3.2,255,3840,"['Shield Dust', 'Run Away']",1000000,70,40,35,30,20,20,50,195,1,0
14,Kakuna,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,Cocoon PokÃ©mon,0.6,10,120,3840,['Shed Skin'],1000000,70,45,25,50,25,25,35,205,1,0
15,Beedrill,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,Poison Bee PokÃ©mon,1,29.5,45,3840,"['Swarm', 'Sniper']",1000000,70,65,150,40,15,80,145,495,1,0
16,Pidgey,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,Tiny Bird PokÃ©mon,0.3,1.8,255,3840,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1059860,70,40,45,40,35,35,56,251,1,0
17,Pidgeotto,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,Bird PokÃ©mon,1.1,30,120,3840,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1059860,70,63,60,55,50,50,71,349,1,0
18,Pidgeot,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,Bird PokÃ©mon,1.5,39.5,45,3840,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1059860,70,83,80,80,135,80,121,579,1,0
19,Rattata,normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,Mouse PokÃ©mon,0.3,3.5,255,3840,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1000000,70,30,56,35,25,35,72,253,1,0
20,Raticate,normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,Mouse PokÃ©mon,0.7,18.5,127,3840,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1000000,70,75,71,70,40,80,77,413,1,0
21,Spearow,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,Tiny Bird PokÃ©mon,0.3,2,255,3840,"['Keen Eye', 'Sniper']",1000000,70,40,60,30,31,31,70,262,1,0
22,Fearow,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,Beak PokÃ©mon,1.2,38,90,3840,"['Keen Eye', 'Sniper']",1000000,70,65,90,65,61,61,100,442,1,0
23,Ekans,poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,50,Snake PokÃ©mon,2,6.9,255,5120,"['Intimidate', 'Shed Skin', 'Unnerve']",1000000,70,35,60,44,40,54,55,288,1,0
24,Arbok,poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,50,Cobra PokÃ©mon,3.5,65,90,5120,"['Intimidate', 'Shed Skin', 'Unnerve']",1000000,70,60,95,69,65,79,80,448,1,0
25,Pikachu,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,Mouse PokÃ©mon,0.4,6,190,2560,"['Static', 'Lightningrod']",1000000,70,35,55,40,50,50,90,320,1,0
26,Raichu,electric,electric,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,Mouse PokÃ©mon,0.8,30,75,2560,"['Static', 'Lightningrod', 'Surge Surfer']",1000000,70,60,85,50,95,85,110,485,1,0
27,Sandshrew,ground,ice,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,Mouse PokÃ©mon,0.6,12,255,5120,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1000000,70,50,75,90,10,35,40,300,1,0
28,Sandslash,ground,ice,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,Mouse PokÃ©mon,1,29.5,90,5120,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1000000,70,75,100,120,25,65,65,450,1,0
29,Nidoranâ™€,poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,0,Poison Pin PokÃ©mon,0.4,7,235,5120,"['Poison Point', 'Rivalry', 'Hustle']",1059860,70,55,47,52,40,40,41,275,1,0
30,Nidorina,poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,0,Poison Pin PokÃ©mon,0.8,20,120,5120,"['Poison Point', 'Rivalry', 'Hustle']",1059860,70,70,62,67,55,55,56,365,1,0
31,Nidoqueen,poison,ground,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,0,Drill PokÃ©mon,1.3,60,45,5120,"['Poison Point', 'Rivalry', 'Sheer Force']",1059860,70,90,92,87,75,85,76,505,1,0
32,Nidoranâ™‚,poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,100,Poison Pin PokÃ©mon,0.5,9,235,5120,"['Poison Point', 'Rivalry', 'Hustle']",1059860,70,46,57,40,40,40,50,273,1,0
33,Nidorino,poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,100,Poison Pin PokÃ©mon,0.9,19.5,120,5120,"['Poison Point', 'Rivalry', 'Hustle']",1059860,70,61,72,57,55,55,65,365,1,0
34,Nidoking,poison,ground,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,100,Drill PokÃ©mon,1.4,62,45,5120,"['Poison Point', 'Rivalry', 'Sheer Force']",1059860,70,81,102,77,85,75,85,505,1,0
35,Clefairy,fairy,,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,24.6,Fairy PokÃ©mon,0.6,7.5,150,2560,"['Cute Charm', 'Magic Guard', 'Friend Guard']",800000,140,70,45,48,60,65,35,323,1,0
36,Clefable,fairy,,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,24.6,Fairy PokÃ©mon,1.3,40,25,2560,"['Cute Charm', 'Magic Guard', 'Unaware']",800000,140,95,70,73,95,90,60,483,1,0
37,Vulpix,fire,ice,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,24.6,Fox PokÃ©mon,0.6,9.9,190,5120,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",1000000,70,38,41,40,50,65,65,299,1,0
38,Ninetales,fire,ice,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,24.6,Fox PokÃ©mon,1.1,19.9,75,5120,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",1000000,70,73,67,75,81,100,109,505,1,0
39,Jigglypuff,normal,fairy,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,24.6,Balloon PokÃ©mon,0.5,5.5,170,2560,"['Cute Charm', 'Competitive', 'Friend Guard']",800000,70,115,45,20,45,25,20,270,1,0
40,Wigglytuff,normal,fairy,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,24.6,Balloon PokÃ©mon,1,12,50,2560,"['Cute Charm', 'Competitive', 'Frisk']",800000,70,140,70,45,85,50,45,435,1,0
41,Zubat,poison,flying,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,50,Bat PokÃ©mon,0.8,7.5,255,3840,"['Inner Focus', 'Infiltrator']",1000000,70,40,45,35,30,40,55,245,1,0
42,Golbat,poison,flying,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,50,Bat PokÃ©mon,1.6,55,90,3840,"['Inner Focus', 'Infiltrator']",1000000,70,75,80,70,65,75,90,455,1,0
43,Oddish,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,Weed PokÃ©mon,0.5,5.4,255,5120,"['Chlorophyll', 'Run Away']",1059860,70,45,50,55,75,65,30,320,1,0
44,Gloom,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,Weed PokÃ©mon,0.8,8.6,120,5120,"['Chlorophyll', 'Stench']",1059860,70,60,65,70,85,75,40,395,1,0
45,Vileplume,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,Flower PokÃ©mon,1.2,18.6,45,5120,"['Chlorophyll', 'Effect Spore']",1059860,70,75,80,85,110,90,50,490,1,0
46,Paras,bug,grass,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,50,Mushroom PokÃ©mon,0.3,5.4,190,5120,"['Effect Spore', 'Dry Skin', 'Damp']",1000000,70,35,70,55,45,55,25,285,1,0
47,Parasect,bug,grass,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,50,Mushroom PokÃ©mon,1,29.5,75,5120,"['Effect Spore', 'Dry Skin', 'Damp']",1000000,70,60,95,80,60,80,30,405,1,0
48,Venonat,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,Insect PokÃ©mon,1,30,190,5120,"['Compoundeyes', 'Tinted Lens', 'Run Away']",1000000,70,60,55,50,40,55,45,305,1,0
49,Venomoth,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,Poison Moth PokÃ©mon,1.5,12.5,75,5120,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",1000000,70,70,65,60,90,75,90,450,1,0
50,Diglett,ground,ground,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,Mole PokÃ©mon,0.2,0.8,255,5120,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1000000,70,10,55,30,35,45,90,265,1,0
51,Dugtrio,ground,ground,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,Mole PokÃ©mon,0.7,33.3,50,5120,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1000000,70,35,100,60,50,70,110,425,1,0
52,Meowth,normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,Scratch Cat PokÃ©mon,0.4,4.2,255,5120,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1000000,70,40,35,35,50,40,90,290,1,0
53,Persian,normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,Classy Cat PokÃ©mon,1,32,90,5120,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1000000,70,65,60,60,75,65,115,440,1,0
54,Psyduck,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,Duck PokÃ©mon,0.8,19.6,190,5120,"['Damp', 'Cloud Nine', 'Swift Swim']",1000000,70,50,52,48,65,50,55,320,1,0
55,Golduck,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,Duck PokÃ©mon,1.7,76.6,75,5120,"['Damp', 'Cloud Nine', 'Swift Swim']",1000000,70,80,82,78,95,80,85,500,1,0
